game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp,team_elo
W (37-16),1,9,19,115,1,46,301,4,6.5,65,6.4,2,12,2,18,3,30,0,1,1,4,35,60,343,2,27,148,0,5.5,87,5.6,1,8,1,24,10,80,2,2,25.63928531682804
W (54-52),2,26,46,390,4,49,237,3,4.8,95,6.6,0,14,0,31,12,109,0,2,1,3,35,54,375,4,21,116,3,5.5,75,6.5,4,4,4,25,2,15,1,2,71.3057378923615
W (25-17),2,17,35,172,0,34,123,2,3.6,69,4.3,4,10,4,23,5,57,1,1,0,2,24,36,220,1,27,118,1,4.4,63,5.4,3,6,3,22,12,91,0,2,85.39766594104191
W (29-26),1,19,27,257,2,40,114,2,2.9,67,5.5,3,8,3,22,4,45,1,0,0,1,28,41,284,1,30,130,2,4.3,71,5.8,1,5,1,21,8,78,0,1,126.55393857935982
L (12-34),3,15,29,161,0,37,85,1,2.3,66,3.7,2,10,2,19,1,5,2,1,1,1,12,18,235,4,42,222,1,5.3,60,7.6,0,11,0,21,8,60,1,0,-5.870014441444267
W (32-28),2,15,30,295,2,33,148,2,4.5,63,7.0,2,7,2,23,3,20,0,2,1,2,15,25,184,1,47,247,3,5.3,72,6.0,0,15,0,25,5,42,1,1,6.957083016731708
L (16-28),2,18,31,206,1,32,148,1,4.6,63,5.6,1,8,1,22,7,47,0,2,1,0,18,26,265,1,45,129,3,2.9,71,5.5,2,11,2,24,1,10,0,0,13.071312432855633
W (31-26),0,18,22,198,2,40,203,2,5.1,62,6.5,0,8,0,16,7,48,0,0,0,1,22,34,308,2,25,78,2,3.1,59,6.5,1,4,1,18,5,30,1,0,28.21022816051849
L (0-63),2,22,40,103,0,27,42,0,1.6,67,2.2,1,3,1,10,4,40,0,2,0,1,12,18,266,3,47,334,6,7.1,65,9.2,2,14,2,25,7,59,1,0,-2.6929148778815097
W (26-21),3,20,30,242,1,30,65,2,2.2,60,5.1,2,3,2,16,10,104,1,2,1,4,19,33,200,2,42,125,1,3.0,75,4.3,3,6,3,17,8,70,2,2,40.06181937505042
W (44-17),1,18,27,264,3,42,218,2,5.2,69,7.0,0,10,0,20,5,50,0,1,1,1,14,24,178,1,41,152,0,3.7,65,5.1,1,10,1,18,2,13,0,1,46.45918039461188
W (31-14),0,17,22,276,3,36,186,1,5.2,58,8.0,1,13,1,24,0,0,0,0,1,1,13,26,97,0,41,176,2,4.3,67,4.1,0,14,0,18,5,37,0,1,85.76808767951525
L (14-28),2,12,19,141,0,33,120,2,3.6,52,5.0,0,6,0,13,3,25,1,1,0,1,21,36,192,0,46,196,3,4.3,82,4.7,1,13,1,27,3,11,1,0,-7.61370202704633
L (20-27),1,15,28,126,1,41,192,1,4.7,69,4.6,2,13,2,21,3,30,1,0,0,1,15,25,177,3,39,243,0,6.2,64,6.6,0,13,0,20,3,35,1,0,-16.40153225251257
W (34-24),0,17,25,191,2,39,196,1,5.0,64,6.0,1,8,1,19,2,10,0,0,1,4,26,38,413,0,27,88,3,3.3,65,7.7,1,4,1,20,6,45,3,1,30.92553317382473
W (52-21),1,17,24,221,3,37,358,4,9.7,61,9.5,1,13,1,23,8,100,0,1,1,4,12,25,114,3,39,136,0,3.5,64,3.9,4,9,4,19,4,20,2,2,71.61695237091
W (28-14),1,21,36,192,0,46,196,3,4.3,82,4.7,1,13,1,27,3,11,1,0,1,2,12,19,141,0,33,120,2,3.6,52,5.0,0,6,0,13,3,25,1,1,18.439977920105058
L (21-38),2,13,26,180,1,25,106,2,4.2,51,5.6,1,6,1,13,7,50,1,1,0,3,30,45,308,3,37,161,1,4.4,82,5.7,2,9,2,29,7,53,2,1,5.093638502996745
W (42-7),2,20,28,240,1,47,309,5,6.6,75,7.3,1,12,1,24,5,40,1,1,0,1,12,32,103,0,35,168,1,4.8,67,4.0,0,10,0,13,4,30,0,1,33.75836926738007
L (13-28),1,22,42,217,0,27,81,1,3.0,69,4.3,0,7,0,16,5,33,0,1,1,1,25,31,246,2,35,173,1,4.9,66,6.3,1,9,1,22,6,41,1,0,43.35370359286175
L (7-48),3,10,20,78,1,32,40,0,1.3,52,2.3,1,5,1,8,7,65,1,2,0,0,14,22,258,2,49,241,2,4.9,71,7.0,2,13,2,27,4,30,0,0,-3.819052207800593
L (17-44),0,15,28,175,1,32,69,0,2.2,60,4.1,3,3,3,15,4,34,0,0,0,0,30,43,318,2,32,216,3,6.8,75,7.1,3,9,3,28,8,70,0,0,-13.786322156341717
L (24-27),2,12,31,191,1,41,190,2,4.6,72,5.3,3,7,3,19,7,63,0,2,1,1,16,27,254,1,35,102,1,2.9,62,5.7,1,6,1,16,9,67,0,1,-3.1789471920712167
L (25-27),2,17,31,194,0,42,276,2,6.6,73,6.4,3,11,3,24,6,61,1,1,1,0,26,41,230,2,30,148,1,4.9,71,5.3,3,9,3,23,8,77,0,0,-20.57682498768441
