game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp,team_elo
W (35-0),0,10,14,138,2,48,220,3,4.6,62,5.8,2,12,2,20,4,25,0,0,0,2,3,11,13,0,35,100,0,2.9,46,2.5,1,7,1,8,6,45,1,1,124.94683428354085
L (10-45),1,19,37,236,0,32,116,1,3.6,69,5.1,2,8,2,19,4,40,0,1,1,1,28,39,431,5,35,129,1,3.7,74,7.6,1,9,1,24,9,80,0,1,-13.636406329825517
L (20-52),2,20,44,186,2,47,229,0,4.9,91,4.6,5,12,5,27,6,45,0,2,0,0,22,34,439,5,26,179,2,6.9,60,10.3,0,5,0,21,14,130,0,0,1.957589688402602
L (10-20),2,14,27,165,1,31,75,0,2.4,58,4.1,6,4,6,17,4,39,1,1,0,1,31,47,316,1,28,81,1,2.9,75,5.3,1,4,1,21,10,104,0,1,-10.505398209342063
L (21-59),2,22,41,236,3,49,187,0,3.8,90,4.7,4,9,4,24,7,68,1,1,0,0,27,37,424,7,23,113,0,4.9,60,9.0,1,5,1,23,10,85,0,0,8.969536078285593
L (27-37),1,23,32,235,3,35,119,0,3.4,67,5.3,3,5,3,22,10,109,0,1,0,1,11,26,161,0,38,266,4,7.0,64,6.7,5,18,5,29,6,65,0,1,-18.50683717806112
L (20-71),3,21,43,230,1,22,75,1,3.4,65,4.7,2,5,2,13,7,45,0,3,1,0,14,18,180,2,50,317,6,6.3,68,7.3,2,13,2,24,7,65,0,0,-31.968629982530228
L (25-35),1,33,56,384,2,34,101,0,3.0,90,5.4,2,7,2,26,9,88,0,1,0,2,17,32,201,2,41,148,3,3.6,73,4.8,4,7,4,18,7,60,1,1,-50.87693698030306
L (23-31),4,22,43,233,1,33,170,1,5.2,76,5.3,2,11,2,23,5,65,2,2,1,2,20,36,176,2,40,189,2,4.7,76,4.8,3,7,3,20,6,60,1,1,-41.189040003840915
W (35-34),0,13,22,230,3,54,289,2,5.4,76,6.8,2,17,2,30,5,45,0,0,0,0,35,53,402,4,17,58,0,3.4,70,6.6,2,3,2,26,4,40,0,0,40.512124024490156
L (13-24),1,12,22,165,0,40,108,1,2.7,62,4.4,2,11,2,20,6,39,0,1,0,0,23,28,229,1,32,130,2,4.1,60,6.0,2,6,2,19,8,64,0,0,21.95134599316374
L (35-38),2,8,20,62,0,39,354,4,9.1,59,7.1,0,10,0,14,7,44,0,2,0,2,20,47,274,1,49,256,4,5.2,96,5.5,2,14,2,28,2,10,0,2,5.668832406397758
W (56-12),0,20,25,294,3,44,308,5,7.0,69,8.7,4,18,4,33,5,40,0,0,1,1,24,33,256,2,25,5,0,0.2,58,4.5,1,1,1,14,10,100,1,0,13.571868969930648
L (13-42),2,15,24,142,0,26,96,1,3.7,50,4.8,5,6,5,16,7,74,1,1,1,0,25,33,307,4,29,123,2,4.2,62,6.9,4,5,4,25,14,127,0,0,12.711426138657114
L (13-34),2,13,24,125,0,24,47,0,2.0,48,3.6,2,4,2,11,9,86,0,2,1,1,31,42,278,3,36,153,1,4.3,78,5.5,4,8,4,27,6,49,0,1,-0.0326081829981657
L (17-21),3,25,36,293,1,26,36,1,1.4,62,5.3,1,2,1,18,10,105,0,3,1,0,26,37,193,2,24,41,1,1.7,61,3.8,4,3,4,19,4,21,0,0,-24.288540122158025
W (27-20),0,17,25,219,2,30,139,0,4.6,55,6.5,1,5,1,17,9,62,0,0,0,2,16,34,209,1,38,113,2,3.0,72,4.5,4,10,4,21,2,15,0,2,17.84890818244303
L (19-31),2,27,44,267,2,33,52,0,1.6,77,4.1,1,9,1,21,9,47,2,0,0,2,20,29,182,2,30,123,2,4.1,59,5.2,2,9,2,20,2,25,0,2,24.444804877445687
W (48-0),1,29,41,295,1,37,249,5,6.7,78,7.0,1,12,1,28,4,27,1,0,1,1,18,27,103,0,23,87,0,3.8,50,3.8,0,5,0,10,9,64,0,1,34.46982569711114
W (38-21),3,30,45,308,3,37,161,1,4.4,82,5.7,2,9,2,29,7,53,2,1,1,2,13,26,180,1,25,106,2,4.2,51,5.6,1,6,1,13,7,50,1,1,39.75243853374843
L (30-33),1,20,34,220,2,24,189,1,7.9,58,7.1,0,7,0,16,5,60,0,1,1,3,31,44,400,2,31,118,1,3.8,75,6.9,2,5,2,28,3,25,0,3,23.53311470948073
W (42-20),0,20,28,308,2,23,135,4,5.9,51,8.7,2,5,2,23,5,43,0,0,1,0,27,47,313,1,42,121,1,2.9,89,4.9,3,9,3,27,4,9,0,0,36.71337539609742
W (28-20),2,25,35,259,3,32,182,1,5.7,67,6.6,2,9,2,22,5,70,1,1,1,2,27,38,191,1,25,119,0,4.8,63,4.9,1,8,1,19,5,40,0,2,44.177721329732854
W (38-21),1,20,33,239,3,41,221,1,5.4,74,6.2,2,9,2,23,1,15,0,1,0,2,18,35,245,2,34,140,1,4.1,69,5.6,0,5,0,14,9,65,0,2,40.57712885344711
L (10-23),2,20,40,280,1,29,84,0,2.9,69,5.3,0,6,0,19,3,20,0,2,1,1,19,31,197,2,30,161,0,5.4,61,5.9,1,7,1,17,5,35,0,1,48.260908748785866
L (7-13),1,17,33,199,1,26,68,0,2.6,59,4.5,1,4,1,12,5,32,0,1,1,1,22,41,263,0,33,132,1,4.0,74,5.3,0,7,0,20,6,38,1,0,30.000868447869134
L (21-22),3,12,22,112,2,30,147,1,4.9,52,5.0,3,6,3,15,10,90,1,2,1,0,15,33,219,0,32,120,1,3.8,65,5.2,2,7,2,20,10,67,0,0,9.65700122073126
L (21-38),2,18,35,245,2,34,140,1,4.1,69,5.6,0,5,0,14,9,65,0,2,1,1,20,33,239,3,41,221,1,5.4,74,6.2,2,9,2,23,1,15,0,1,-11.178775935464948
L (30-62),1,27,41,372,3,34,135,1,4.0,75,6.8,1,8,1,21,7,42,1,0,0,1,26,32,303,3,42,296,4,7.0,74,8.1,1,10,1,27,4,37,0,1,-26.357926320546206
L (45-50),2,32,47,360,2,34,143,4,4.2,81,6.2,2,6,2,24,7,59,1,1,1,4,17,27,272,2,51,280,5,5.5,78,7.1,0,14,0,28,10,75,1,3,-42.207693524440124
L (28-49),2,28,45,208,2,27,187,2,6.9,72,5.5,3,7,3,21,10,84,1,1,0,0,18,24,179,4,45,303,3,6.7,69,7.0,4,12,4,28,4,50,0,0,-24.249814662567566
L (10-28),3,26,43,244,1,30,91,0,3.0,73,4.6,1,8,1,18,2,25,1,2,0,2,15,19,228,1,43,179,3,4.2,62,6.6,1,8,1,19,2,20,2,0,-12.935175606339708
L (21-41),4,15,29,204,1,34,119,1,3.5,63,5.1,2,4,2,15,12,120,2,2,1,1,19,31,224,2,51,293,3,5.7,82,6.3,3,10,3,26,7,60,1,0,-28.47693449330727
W (30-21),2,14,23,161,1,46,211,2,4.6,69,5.4,2,13,2,20,3,35,1,1,1,4,17,28,202,2,33,85,1,2.6,61,4.7,1,3,1,14,7,49,0,4,-14.674127985908072
L (13-20),1,18,34,145,0,42,160,1,3.8,76,4.0,3,8,3,20,5,52,0,1,1,3,21,35,239,1,28,94,1,3.4,63,5.3,3,5,3,17,8,70,1,2,-35.274792434807416
L (10-49),2,24,50,252,1,30,65,0,2.2,80,4.0,1,4,1,16,10,73,1,1,0,1,18,27,309,2,45,195,5,4.3,72,7.0,5,9,5,26,3,19,0,1,10.604110825932526
L (20-30),3,25,51,286,1,38,170,1,4.5,89,5.1,3,5,3,18,12,79,1,2,0,2,17,35,294,2,36,47,1,1.3,71,4.8,4,4,4,18,5,46,0,2,-4.890963093752552
W (38-24),3,26,45,340,2,44,145,2,3.3,89,5.4,1,8,1,26,5,62,1,2,1,2,10,21,103,0,33,100,2,3.0,54,3.8,2,3,2,10,3,26,1,1,-0.8916155005440487
W (44-36),0,21,38,307,4,35,101,1,2.9,73,5.6,4,4,4,19,7,65,0,0,1,2,35,52,454,4,21,62,1,3.0,73,7.1,3,4,3,27,12,86,1,1,12.609572036105188
L (32-36),1,18,33,270,2,34,110,2,3.2,67,5.7,3,8,3,23,9,85,1,0,0,1,26,41,269,3,34,157,1,4.6,75,5.7,3,6,3,25,6,56,0,1,14.601697399483186
