game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp,team_elo,havoc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
W (56-7),0,17,24.0,226,3,40,205,5,5.1,64,6.7,4,13,4,24,2,19,0,0,1,2.0,24.0,35.0,133.0,1.0,26.0,78.0,0.0,3.0,61.0,3.5,1.0,5.0,1.0,13.0,9.0,84.0,1.0,1.0,15.829615144237165,,,,,,,,,
W (17-3),1,10,23.0,107,0,42,203,2,4.8,65,4.8,3,10,3,16,5,35,1,0,0,2.0,14.0,28.0,87.0,0.0,46.0,177.0,0.0,3.8,74.0,3.6,0.0,10.0,0.0,14.0,5.0,40.0,1.0,1.0,28.80403430438548,,,,,,,,,
W (40-17),0,10,13.0,164,0,43,193,3,4.5,56,6.4,0,9,0,17,6,40,0,0,0,3.0,15.0,27.0,107.0,1.0,35.0,154.0,1.0,4.4,62.0,4.2,0.0,10.0,0.0,15.0,3.0,15.0,0.0,3.0,67.86554646028164,,,,,,,,,
W (24-21),0,10,21.0,238,2,42,177,1,4.2,63,6.6,0,11,0,18,5,45,0,0,1,0.0,14.0,24.0,150.0,2.0,36.0,100.0,0.0,2.8,60.0,4.2,2.0,5.0,2.0,13.0,2.0,13.0,0.0,0.0,104.74493146475548,,,,,,,,,
W (42-28),0,15,23.0,219,0,46,288,6,6.3,69,7.3,1,17,1,28,6,50,0,0,1,1.0,20.0,34.0,272.0,2.0,24.0,206.0,2.0,8.6,58.0,8.2,2.0,8.0,2.0,21.0,8.0,60.0,0.0,1.0,151.83323467566214,,,,,,,,,
W (27-24),0,16,24.0,259,2,44,192,1,4.4,68,6.6,0,11,0,21,8,72,0,0,0,3.0,6.0,17.0,93.0,1.0,42.0,244.0,2.0,5.8,59.0,5.7,2.0,12.0,2.0,18.0,5.0,28.0,1.0,2.0,188.11826837256024,,,,,,,,,
L (34-40),1,22,43.0,275,2,44,219,2,5.0,87,5.7,3,11,3,30,7,70,0,1,0,0.0,21.0,30.0,208.0,0.0,45.0,319.0,5.0,7.1,75.0,7.0,2.0,18.0,2.0,27.0,5.0,60.0,0.0,0.0,-7.13110062992877,,,,,,,,,
L (19-22),2,22,40.0,200,0,50,217,0,4.3,90,4.6,3,11,3,27,2,15,1,1,0,1.0,5.0,15.0,31.0,0.0,27.0,177.0,2.0,6.6,42.0,5.0,0.0,6.0,0.0,7.0,8.0,65.0,0.0,1.0,-6.307175219423055,,,,,,,,,
L (24-27),1,18,31.0,305,2,26,111,1,4.3,57,7.3,3,6,3,18,6,60,1,0,1,0.0,19.0,28.0,373.0,2.0,45.0,196.0,1.0,4.4,73.0,7.8,1.0,11.0,1.0,25.0,9.0,108.0,0.0,0.0,10.54653072720864,,,,,,,,,
W (48-38),2,23,33.0,391,4,32,180,3,5.6,65,8.8,2,6,2,24,5,45,1,1,1,1.0,23.0,42.0,287.0,1.0,43.0,301.0,4.0,7.0,85.0,6.9,3.0,15.0,3.0,33.0,9.0,74.0,1.0,0.0,26.580188030984147,,,,,,,,,
W (42-14),2,14,21.0,255,3,39,254,3,6.5,60,8.5,2,10,2,19,4,50,1,1,0,2.0,16.0,31.0,121.0,2.0,47.0,139.0,0.0,3.0,78.0,3.3,3.0,9.0,3.0,17.0,6.0,69.0,1.0,1.0,60.5847864979377,,,,,,,,,
W (55-27),1,23,36.0,296,4,33,236,3,7.2,69,7.7,3,12,3,29,2,30,0,1,1,4.0,26.0,39.0,277.0,1.0,24.0,83.0,1.0,3.5,63.0,5.7,0.0,8.0,0.0,20.0,9.0,70.0,1.0,3.0,100.40382403548844,,,,,,,,,
L (24-31),5,33,47.0,340,2,25,91,1,3.6,72,6.0,3,4,3,23,5,55,1,4,0,1.0,13.0,17.0,162.0,3.0,39.0,145.0,1.0,3.7,56.0,5.5,3.0,5.0,3.0,16.0,9.0,90.0,1.0,0.0,-13.708669332433493,,,,,,,,,
W (21-20),0,18,30.0,204,1,37,145,2,3.9,67,5.2,0,10,0,20,5,36,0,0,0,0.0,18.0,32.0,246.0,0.0,34.0,108.0,2.0,3.2,66.0,5.4,1.0,6.0,1.0,18.0,6.0,45.0,0.0,0.0,26.25354205703472,,,,,,,,,
L (41-43),1,25,35.0,303,5,42,203,0,4.8,77,6.6,2,12,2,28,12,99,0,1,0,1.0,14.0,25.0,219.0,1.0,33.0,146.0,5.0,4.4,58.0,6.3,8.0,8.0,8.0,23.0,8.0,72.0,1.0,0.0,7.19566666230793,,,,,,,,,
W (27-24),1,25,32.0,275,3,30,88,0,2.9,62,5.9,1,10,1,21,4,20,0,1,1,0.0,18.0,33.0,276.0,2.0,29.0,131.0,1.0,4.5,62.0,6.6,0.0,9.0,0.0,23.0,2.0,20.0,0.0,0.0,44.65966216819832,,,,,,,,,
W (34-31),0,21,35.0,214,2,27,207,2,7.7,62,6.8,3,7,3,22,8,87,0,0,0,0.0,22.0,35.0,262.0,2.0,30.0,77.0,2.0,2.6,65.0,5.2,3.0,4.0,3.0,18.0,11.0,83.0,0.0,0.0,82.56309577080506,,,,,,,,,
W (59-23),1,30,41.0,527,5,25,92,3,3.7,66,9.4,0,3,0,24,6,65,0,1,0,3.0,10.0,23.0,82.0,1.0,42.0,224.0,2.0,5.3,65.0,4.7,3.0,14.0,3.0,22.0,3.0,30.0,1.0,2.0,119.12993659958909,,,,,,,,,
L (15-27),1,16,29.0,167,1,34,110,1,3.2,63,4.4,1,10,1,15,4,30,0,1,1,0.0,22.0,32.0,191.0,2.0,31.0,113.0,1.0,3.6,63.0,4.8,2.0,8.0,2.0,16.0,9.0,62.0,0.0,0.0,-10.454553650172777,,,,,,,,,
L (28-42),2,23,39.0,263,2,32,90,1,2.8,71,5.0,2,8,2,21,4,26,1,1,1,1.0,20.0,31.0,322.0,3.0,29.0,213.0,2.0,7.3,60.0,8.9,1.0,8.0,1.0,22.0,10.0,85.0,1.0,0.0,-24.66189303569898,,,,,,,,,
L (24-27),0,32,50.0,335,1,29,57,2,2.0,79,5.0,2,7,2,25,9,88,0,0,1,0.0,26.0,42.0,239.0,1.0,30.0,56.0,2.0,1.9,72.0,4.1,2.0,5.0,2.0,19.0,8.0,65.0,0.0,0.0,-51.79195138270616,,,,,,,,,
W (38-27),0,19,26.0,274,0,39,235,5,6.0,65,7.8,3,10,3,25,9,72,0,0,1,0.0,35.0,50.0,315.0,1.0,21.0,88.0,2.0,4.2,71.0,5.7,3.0,10.0,3.0,26.0,5.0,38.0,0.0,0.0,-42.68281210162697,,,,,,,,,
W (17-7),1,22,39.0,176,1,30,74,1,2.5,69,3.6,4,8,4,21,7,46,0,1,0,1.0,11.0,21.0,117.0,1.0,37.0,183.0,0.0,4.9,58.0,5.2,0.0,9.0,0.0,15.0,9.0,86.0,1.0,0.0,-24.13724164881223,,,,,,,,,
W (28-6),0,13,19.0,136,2,45,172,1,3.8,64,4.8,2,11,2,19,4,34,0,0,1,1.0,11.0,17.0,174.0,0.0,36.0,26.0,0.0,0.7,53.0,3.8,2.0,4.0,2.0,14.0,5.0,39.0,0.0,1.0,17.90301612756128,,,,,,,,,
L (31-34),2,21,31.0,289,3,37,137,0,3.7,68,6.3,3,9,3,25,11,69,0,2,0,1.0,20.0,29.0,320.0,4.0,29.0,189.0,0.0,6.5,58.0,8.8,3.0,9.0,3.0,26.0,5.0,51.0,0.0,1.0,-2.87257693234211,,,,,,,,,
L (20-27),2,25,39.0,250,2,29,36,0,1.2,68,4.2,1,5,1,17,10,70,0,2,0,0.0,16.0,25.0,153.0,1.0,45.0,196.0,2.0,4.4,70.0,5.0,3.0,11.0,3.0,21.0,5.0,44.0,0.0,0.0,-18.595823867138712,,,,,,,,,
L (3-7),2,19,31.0,97,0,37,103,0,2.8,68,2.9,0,9,0,12,5,60,1,1,1,1.0,8.0,12.0,85.0,1.0,36.0,120.0,0.0,3.3,48.0,4.3,2.0,5.0,2.0,10.0,8.0,49.0,0.0,1.0,-37.50655924187411,,,,,,,,,
L (10-48),2,12,20.0,135,1,32,120,0,3.8,52,4.9,0,4,0,10,4,35,2,0,1,2.0,12.0,21.0,163.0,3.0,55.0,354.0,2.0,6.4,76.0,6.8,1.0,23.0,1.0,32.0,2.0,10.0,0.0,2.0,-20.83565165358572,,,,,,,,,
L (0-73),1,13,27.0,160,0,23,48,0,2.1,50,4.2,2,3,2,10,14,111,1,0,0,0.0,30.0,33.0,422.0,3.0,49.0,220.0,6.0,4.5,82.0,7.8,5.0,13.0,5.0,36.0,6.0,65.0,0.0,0.0,-2.653708565035222,,,,,,,,,
W (44-37),1,11,21.0,233,3,44,192,2,4.4,65,6.5,0,10,0,18,3,15,0,1,1,2.0,20.0,36.0,215.0,2.0,34.0,234.0,2.0,6.9,70.0,6.4,1.0,10.0,1.0,20.0,5.0,45.0,0.0,2.0,13.839622642218856,,,,,,,,,
L (3-37),0,15,27.0,156,0,32,47,0,1.5,59,3.4,1,3,1,11,2,22,0,0,0,1.0,12.0,21.0,236.0,1.0,50.0,351.0,3.0,7.0,71.0,8.3,2.0,13.0,2.0,20.0,8.0,75.0,1.0,0.0,29.29156484782825,,,,,,,,,
W (34-24),1,15,30.0,298,1,36,159,3,4.4,66,6.9,2,9,2,21,3,40,0,1,0,0.0,25.0,45.0,300.0,2.0,35.0,148.0,0.0,4.2,80.0,5.6,1.0,8.0,1.0,21.0,9.0,75.0,0.0,0.0,43.28668890953924,,,,,,,,,
L (14-21),1,15,28.0,186,1,36,116,0,3.2,64,4.7,4,7,4,19,3,15,0,1,0,1.0,19.0,25.0,145.0,2.0,40.0,199.0,1.0,5.0,65.0,5.3,0.0,10.0,0.0,15.0,8.0,71.0,1.0,0.0,54.06901498065997,,,,,,,,,
L (21-35),2,19,38.0,263,1,29,42,1,1.4,67,4.6,6,2,6,20,7,89,1,1,0,2.0,16.0,22.0,214.0,3.0,53.0,279.0,2.0,5.3,75.0,6.6,4.0,11.0,4.0,24.0,8.0,98.0,2.0,0.0,73.71751934088245,,,,,,,,,
L (13-17),5,6,12.0,107,0,50,172,0,3.4,62,4.5,0,9,0,13,3,35,3,2,0,2.0,15.0,31.0,91.0,1.0,32.0,207.0,1.0,6.5,63.0,4.7,1.0,9.0,1.0,15.0,5.0,35.0,0.0,2.0,-10.166530274995004,,,,,,,,,
L (16-29),2,9,21.0,145,1,46,125,1,2.7,67,4.0,2,10,2,16,2,15,0,2,0,1.0,21.0,26.0,245.0,1.0,37.0,158.0,2.0,4.3,63.0,6.4,0.0,7.0,0.0,20.0,6.0,65.0,0.0,1.0,3.7229742885357497,,,,,,,,,
L (0-19),4,9,18.0,78,0,51,175,0,3.4,69,3.7,2,10,2,17,5,31,3,1,1,1.0,10.0,21.0,227.0,1.0,39.0,222.0,0.0,5.7,60.0,7.5,0.0,10.0,0.0,15.0,9.0,80.0,1.0,0.0,-9.695383568040024,,,,,,,,,
L (14-21),3,9,21.0,158,0,42,204,2,4.9,63,5.7,1,12,1,19,1,12,1,2,1,0.0,17.0,23.0,121.0,0.0,37.0,231.0,3.0,6.2,60.0,5.9,0.0,12.0,0.0,19.0,8.0,50.0,0.0,0.0,-22.491844255134595,,,,,,,,,
W (28-21),2,0,2.0,0,0,62,365,3,5.9,64,5.7,1,21,1,22,5,55,1,1,1,1.0,26.0,36.0,279.0,3.0,15.0,105.0,0.0,7.0,51.0,7.5,3.0,2.0,3.0,18.0,6.0,45.0,0.0,1.0,23.06864203853439,,,,,,,,,
W (59-14),0,14,25.0,203,1,44,289,6,6.6,69,7.1,3,17,3,27,4,40,0,0,1,2.0,14.0,24.0,161.0,1.0,27.0,140.0,1.0,5.2,51.0,5.9,0.0,6.0,0.0,11.0,9.0,73.0,1.0,1.0,18.400379666164227,,,,,,,,,
L (10-27),0,9,23.0,56,0,41,144,0,3.5,64,3.1,0,9,0,14,10,64,0,0,0,1.0,15.0,25.0,193.0,2.0,33.0,209.0,1.0,6.3,58.0,6.9,0.0,9.0,0.0,16.0,7.0,50.0,1.0,0.0,34.015094160727294,,,,,,,,,
L (18-48),0,15,27.0,154,1,34,139,1,4.1,61,4.8,3,8,3,18,5,42,0,0,0,1.0,20.0,27.0,325.0,3.0,39.0,238.0,3.0,6.1,66.0,8.5,0.0,12.0,0.0,25.0,12.0,100.0,0.0,1.0,23.07157294852248,,,,,,,,,
W (27-13),0,20,26.0,230,3,36,186,0,5.2,62,6.7,2,8,2,21,7,52,0,0,1,1.0,16.0,32.0,161.0,1.0,35.0,184.0,0.0,5.3,67.0,5.1,2.0,9.0,2.0,19.0,8.0,70.0,0.0,1.0,37.00471049603024,,,,,,,,,
W (48-10),2,12,21.0,163,3,55,354,2,6.4,76,6.8,1,23,1,32,2,10,0,2,0,2.0,12.0,20.0,135.0,1.0,32.0,120.0,0.0,3.8,52.0,4.9,0.0,4.0,0.0,10.0,4.0,35.0,2.0,0.0,71.9388549101381,,,,,,,,,
L (24-27),3,6,17.0,93,1,42,244,2,5.8,59,5.7,2,12,2,18,5,28,1,2,1,0.0,16.0,24.0,259.0,2.0,44.0,192.0,1.0,4.4,68.0,6.6,0.0,11.0,0.0,21.0,8.0,72.0,0.0,0.0,59.06772590021641,,,,,,,,,
L (14-44),2,22,30.0,223,1,41,72,1,1.8,71,4.2,3,3,3,18,4,26,2,0,0,1.0,18.0,31.0,241.0,1.0,20.0,113.0,2.0,5.7,51.0,6.9,2.0,5.0,2.0,17.0,7.0,51.0,0.0,1.0,-9.537092097157997,,,,,,,,,
L (3-40),2,14,29.0,160,0,28,37,0,1.3,57,3.5,0,3,0,10,3,25,0,2,1,0.0,36.0,50.0,363.0,4.0,27.0,167.0,0.0,6.2,77.0,6.9,0.0,9.0,0.0,25.0,5.0,35.0,0.0,0.0,-20.922267798005727,,,,,,,,,
L (10-24),2,20,35.0,157,1,25,148,0,5.9,60,5.1,2,6,2,17,8,66,1,1,0,0.0,18.0,28.0,192.0,2.0,38.0,61.0,1.0,1.6,66.0,3.8,3.0,8.0,3.0,22.0,4.0,40.0,0.0,0.0,-41.28175039886854,,,,,,,,,
W (24-17),0,13,16.0,101,0,46,243,3,5.3,62,5.5,3,14,3,23,7,65,0,0,1,0.0,19.0,31.0,161.0,1.0,35.0,99.0,1.0,2.8,66.0,3.9,4.0,7.0,4.0,20.0,8.0,58.0,0.0,0.0,-28.14047304147593,,,,,,,,,
W (20-17),0,15,25.0,115,1,44,186,1,4.2,69,4.4,1,11,1,20,3,25,0,0,0,3.0,15.0,28.0,141.0,0.0,29.0,174.0,2.0,6.0,57.0,5.5,1.0,7.0,1.0,17.0,2.0,18.0,3.0,0.0,-16.56916513032495,,,,,,,,,
L (31-42),2,27,44.0,416,2,32,108,1,3.4,76,6.9,2,4,2,22,9,45,1,1,1,2.0,22.0,30.0,298.0,3.0,39.0,143.0,3.0,3.7,69.0,6.4,0.0,5.0,0.0,20.0,4.0,31.0,2.0,0.0,-10.96058376739634,,,,,,,,,
L (6-38),1,29,53.0,305,0,31,60,0,1.9,84,4.3,1,4,1,19,4,21,0,1,1,2.0,19.0,25.0,328.0,1.0,34.0,175.0,4.0,5.1,59.0,8.5,1.0,8.0,1.0,24.0,2.0,20.0,2.0,0.0,-26.81584390020092,,,,,,,,,
L (14-39),1,22,38.0,324,1,30,17,0,0.6,68,5.0,1,4,1,17,1,10,1,0,1,2.0,19.0,26.0,180.0,3.0,42.0,186.0,2.0,4.4,68.0,5.4,1.0,11.0,1.0,19.0,4.0,40.0,1.0,1.0,-13.474582029280713,,,,,,,,,
L (18-30),2,24,41.0,239,1,25,67,2,2.7,66,4.6,1,5,1,17,2,12,1,1,1,2.0,19.0,31.0,238.0,1.0,35.0,162.0,2.0,4.6,66.0,6.1,0.0,8.0,0.0,19.0,4.0,18.0,1.0,1.0,1.8351685772835984,,,,,,,,,
L (25-59),4,23,47.0,247,4,35,85,0,2.4,82,4.0,2,7,2,20,4,45,3,1,0,0.0,21.0,34.0,268.0,4.0,37.0,183.0,2.0,4.9,71.0,6.4,1.0,6.0,1.0,22.0,5.0,42.0,0.0,0.0,-16.183670495833372,,,,,,,,,
L (19-56),2,22,47.0,264,1,28,138,1,4.9,75,5.4,3,8,3,21,3,29,0,2,0,0.0,31.0,42.0,490.0,6.0,19.0,78.0,2.0,4.1,61.0,9.3,1.0,3.0,1.0,22.0,5.0,60.0,0.0,0.0,-5.301378765341172,,,,,,,,,
W (34-31),0,12,22.0,162,1,41,241,3,5.9,63,6.4,0,12,0,19,4,35,0,0,0,2.0,17.0,23.0,273.0,1.0,40.0,166.0,3.0,4.2,63.0,7.0,1.0,10.0,1.0,22.0,5.0,23.0,2.0,0.0,13.389272849167504,,,,,,,,,
W (35-27),3,13,24.0,230,2,42,262,3,6.2,66,7.5,1,11,1,22,3,25,2,1,1,1.0,23.0,38.0,325.0,0.0,26.0,104.0,3.0,4.0,64.0,6.7,0.0,9.0,0.0,19.0,7.0,55.0,0.0,1.0,25.50607288812079,,,,,,,,,
W (32-7),2,15,21.0,216,2,50,227,2,4.5,71,6.2,1,13,1,24,3,25,2,0,1,1.0,10.0,21.0,85.0,1.0,24.0,27.0,0.0,1.1,45.0,2.5,1.0,3.0,1.0,8.0,5.0,37.0,0.0,1.0,29.11386139236144,,,,,,,,,
W (42-14),0,11,19.0,265,2,42,219,3,5.2,61,7.9,2,13,2,24,4,40,0,0,1,1.0,17.0,26.0,200.0,0.0,31.0,123.0,2.0,4.0,57.0,5.7,2.0,9.0,2.0,21.0,9.0,62.0,1.0,0.0,38.24479874850927,,,,,,,,,
W (27-19),2,13,17.0,228,1,38,181,2,4.8,55,7.4,1,9,1,19,1,10,0,2,1,1.0,8.0,18.0,131.0,0.0,45.0,206.0,2.0,4.6,63.0,5.3,0.0,9.0,0.0,16.0,3.0,20.0,0.0,1.0,81.10262363137242,,,,,,,,,
L (24-27),1,17,38.0,168,2,28,146,1,5.2,66,4.8,3,9,3,19,10,93,0,1,1,1.0,14.0,29.0,172.0,1.0,48.0,166.0,3.0,3.5,77.0,4.4,3.0,7.0,3.0,21.0,4.0,35.0,1.0,0.0,-9.74571404276119,,,,,,,,,
L (28-56),0,21,41.0,295,3,31,132,1,4.3,72,5.9,1,9,1,23,7,61,0,0,0,0.0,18.0,21.0,388.0,5.0,41.0,194.0,3.0,4.7,62.0,9.4,2.0,9.0,2.0,22.0,4.0,50.0,0.0,0.0,-27.24631989044336,,,,,,,,,
W (27-24),1,4,9.0,51,0,61,321,4,5.3,70,5.3,1,16,1,19,3,25,0,1,0,1.0,10.0,13.0,105.0,1.0,33.0,161.0,2.0,4.9,46.0,5.8,0.0,8.0,0.0,12.0,6.0,30.0,1.0,0.0,13.171678464474857,,,,,,,,,
W (21-14),2,20,29.0,187,1,54,246,2,4.6,83,5.2,2,20,2,30,4,30,1,1,1,0.0,11.0,24.0,130.0,0.0,19.0,92.0,2.0,4.8,43.0,5.2,1.0,3.0,1.0,10.0,5.0,39.0,0.0,0.0,51.81989892327734,,,,,,,,,
L (22-48),2,13,27.0,138,1,29,124,2,4.3,56,4.7,0,7,0,14,4,35,0,2,1,2.0,15.0,22.0,239.0,2.0,50.0,361.0,4.0,7.2,72.0,8.3,0.0,16.0,0.0,24.0,5.0,25.0,2.0,0.0,67.10323456637028,,,,,,,,,
L (20-45),2,15,25.0,151,1,26,143,2,5.5,51,5.8,0,9,0,15,3,30,0,2,1,1.0,23.0,36.0,290.0,2.0,40.0,242.0,4.0,6.1,76.0,7.0,2.0,10.0,2.0,27.0,3.0,28.0,1.0,0.0,54.52887362733541,,,,,,,,,
L (24-34),5,11,31.0,137,1,31,191,1,6.2,62,5.3,2,12,2,19,9,86,0,5,0,1.0,11.0,20.0,143.0,2.0,49.0,246.0,1.0,5.0,69.0,5.6,1.0,12.0,1.0,22.0,4.0,51.0,1.0,0.0,-8.227598025202795,,,,,,,,,
L (7-38),4,16,31.0,109,0,22,102,1,4.6,53,4.0,1,4,1,10,12,123,2,2,1,1.0,16.0,19.0,201.0,3.0,37.0,127.0,0.0,3.4,56.0,5.9,3.0,7.0,3.0,19.0,8.0,65.0,1.0,0.0,-25.56181954653433,,,,,,,,,
L (0-27),1,11,23.0,72,0,19,63,0,3.3,42,3.2,1,5,1,9,7,63,0,1,0,1.0,15.0,18.0,170.0,2.0,47.0,186.0,1.0,4.0,65.0,5.5,2.0,12.0,2.0,20.0,7.0,45.0,1.0,0.0,-9.735748116055651,,,,,,,,,
W (41-14),0,8,14.0,83,2,42,214,3,5.1,56,5.3,3,9,3,15,3,30,0,0,1,4.0,22.0,39.0,234.0,0.0,28.0,45.0,2.0,1.6,67.0,4.2,1.0,9.0,1.0,18.0,9.0,67.0,2.0,2.0,31.4722223881231,,,,,,,,,
W (49-19),1,17,23.0,286,2,39,190,5,4.9,62,7.7,0,10,0,18,11,56,0,1,0,2.0,23.0,40.0,284.0,1.0,32.0,74.0,1.0,2.3,72.0,5.0,2.0,5.0,2.0,20.0,5.0,35.0,1.0,1.0,72.30090863165697,,,,,,,,,
W (34-10),1,19,28.0,228,2,28,132,1,4.7,56,6.4,0,11,0,21,4,25,0,1,0,2.0,17.0,27.0,123.0,0.0,41.0,135.0,1.0,3.3,68.0,3.8,0.0,12.0,0.0,16.0,3.0,20.0,0.0,2.0,81.24868234226624,,,,,,,,,
W (14-0),0,20,33.0,145,0,34,112,2,3.3,67,3.8,0,6,0,12,8,66,0,0,1,3.0,18.0,33.0,147.0,0.0,24.0,38.0,0.0,1.6,57.0,3.2,1.0,1.0,1.0,10.0,7.0,47.0,0.0,3.0,17.82579139797233,,,,,,,,,
L (27-38),3,30,51.0,357,2,22,9,1,0.4,73,5.0,3,1,3,23,3,30,1,2,0,0.0,14.0,19.0,130.0,3.0,37.0,221.0,0.0,6.0,56.0,6.3,1.0,14.0,1.0,23.0,7.0,70.0,0.0,0.0,31.102981502826424,,,,,,,,,
L (11-44),2,15,34.0,152,0,32,91,1,2.8,66,3.7,3,6,3,15,5,50,1,1,0,2.0,38.0,59.0,447.0,4.0,27.0,137.0,0.0,5.1,86.0,6.8,1.0,6.0,1.0,30.0,7.0,59.0,0.0,2.0,53.84237863742038,,,,,,,,,
L (6-35),3,25,40.0,197,0,26,95,0,3.7,66,4.4,2,7,2,17,3,20,1,2,0,2.0,16.0,25.0,170.0,2.0,35.0,184.0,2.0,5.3,60.0,5.9,0.0,9.0,0.0,16.0,6.0,40.0,1.0,1.0,69.09201058506011,,,,,,,,,
L (13-45),3,11,28.0,130,2,38,188,0,4.9,66,4.8,2,9,2,18,4,37,1,2,1,0.0,16.0,25.0,209.0,2.0,37.0,234.0,4.0,6.3,62.0,7.1,1.0,10.0,1.0,21.0,6.0,53.0,0.0,0.0,58.26659845164696,,,,,,,,,
L (17-38),0,26,41.0,194,2,30,122,0,4.1,71,4.5,1,5,1,14,6,70,0,0,0,2.0,24.0,31.0,189.0,1.0,40.0,314.0,4.0,7.9,71.0,7.1,1.0,13.0,1.0,23.0,3.0,30.0,0.0,2.0,-5.59166368113782,,,,,,,,,
L (38-45),2,18,35.0,195,1,44,178,4,4.0,79,4.7,1,8,1,19,6,42,0,2,0,3.0,22.0,29.0,249.0,1.0,38.0,269.0,4.0,7.1,67.0,7.7,2.0,9.0,2.0,24.0,5.0,32.0,1.0,2.0,-16.36142209595063,,,,,,,,,
W (37-13),0,20,32.0,232,0,35,123,2,3.5,67,5.3,0,6,0,18,5,30,0,0,1,4.0,28.0,49.0,280.0,2.0,25.0,80.0,0.0,3.2,74.0,4.9,1.0,5.0,1.0,21.0,6.0,50.0,1.0,3.0,26.03547558251251,,,,,,,,,
W (24-6),1,18,33.0,195,1,34,136,2,4.0,67,4.9,0,5,0,15,6,40,0,1,0,1.0,12.0,26.0,78.0,0.0,35.0,86.0,0.0,2.5,61.0,2.7,1.0,5.0,1.0,10.0,0.0,0.0,0.0,1.0,32.30557663390502,,,,,,,,,
L (10-20),1,16,23.0,181,0,41,114,1,2.8,64,4.6,0,7,0,14,3,25,1,0,1,0.0,14.0,21.0,121.0,0.0,30.0,115.0,2.0,3.8,51.0,4.6,0.0,8.0,0.0,15.0,4.0,17.0,0.0,0.0,9.961614640301235,,,,,,,,,
W (58-21),2,27,39.0,322,2,56,357,6,6.4,95,7.1,0,13,0,29,8,60,1,1,0,3.0,15.0,26.0,184.0,3.0,27.0,41.0,0.0,1.5,53.0,4.2,0.0,4.0,0.0,9.0,2.0,20.0,0.0,3.0,11.96200990335219,,,,,,,,,
L (32-59),3,27,46.0,363,3,35,139,2,4.0,81,6.2,4,7,4,28,2,10,0,3,0,1.0,23.0,32.0,389.0,4.0,30.0,140.0,2.0,4.7,62.0,8.5,0.0,8.0,0.0,23.0,9.0,83.0,0.0,1.0,-8.512774379179024,,,,,,,,,
L (40-52),2,21,32.0,207,2,33,240,3,7.3,65,6.9,2,12,2,22,3,25,1,1,1,1.0,21.0,28.0,296.0,6.0,43.0,203.0,1.0,4.7,71.0,7.0,0.0,14.0,0.0,24.0,5.0,55.0,1.0,0.0,9.730148947538186,,,,,,,,,
L (49-50),4,25,39.0,292,2,42,235,5,5.6,81,6.5,6,8,6,29,5,45,3,1,1,1.0,23.0,40.0,369.0,2.0,40.0,137.0,5.0,3.4,80.0,6.3,0.0,6.0,0.0,20.0,11.0,101.0,1.0,0.0,-4.792665036061211,,,,,,,,,
W (42-39),2,14,21.0,150,2,36,177,2,4.9,57,5.7,4,5,4,16,11,100,2,0,1,4.0,35.0,60.0,358.0,3.0,37.0,125.0,2.0,3.4,97.0,5.0,3.0,9.0,3.0,32.0,7.0,60.0,3.0,1.0,17.75242097269956,,,,,,,,,
W (33-7),2,19,30.0,178,2,32,124,0,3.9,62,4.9,3,6,3,17,5,45,0,2,0,4.0,30.0,47.0,309.0,1.0,36.0,70.0,0.0,1.9,83.0,4.6,1.0,5.0,1.0,23.0,5.0,41.0,2.0,2.0,59.01923885288842,,,,,,,,,
L (7-31),1,13,25.0,96,1,41,123,0,3.0,66,3.3,5,9,5,19,7,75,0,1,0,0.0,18.0,33.0,279.0,2.0,31.0,127.0,2.0,4.1,64.0,6.3,3.0,6.0,3.0,20.0,8.0,66.0,0.0,0.0,-6.487805448539462,,,,,,,,,
W (34-30),0,20,31.0,230,1,38,125,4,3.3,69,5.1,3,8,3,19,4,30,0,0,0,0.0,17.0,27.0,254.0,2.0,33.0,151.0,2.0,4.6,60.0,6.8,1.0,8.0,1.0,19.0,5.0,49.0,0.0,0.0,13.242064148158718,,,,,,,,,
L (13-37),4,28,49.0,280,2,25,80,0,3.2,74,4.9,1,5,1,21,6,50,1,3,0,0.0,20.0,32.0,232.0,0.0,35.0,123.0,2.0,3.5,67.0,5.3,0.0,6.0,0.0,18.0,5.0,30.0,0.0,0.0,23.273635009777884,,,,,,,,,
L (17-24),0,19,31.0,161,1,35,99,1,2.8,66,3.9,4,7,4,20,8,58,0,0,0,0.0,13.0,16.0,101.0,0.0,46.0,243.0,3.0,5.3,62.0,5.5,3.0,14.0,3.0,23.0,7.0,65.0,0.0,0.0,31.519989265888107,,,,,,,,,
