game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp,team_elo,havoc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
W (59-10),1,27,35.0,351,3,51,218,5,4.3,86,6.6,4,13,4,32,6,48,1,0,1,3.0,27.0,43.0,269.0,1.0,27.0,74.0,0.0,2.7,70.0,4.9,0.0,5.0,0.0,17.0,12.0,83.0,1.0,2.0,17.54709355249969,,,,,,,,,
W (63-6),0,20,25.0,438,4,45,238,5,5.3,70,9.7,3,15,3,28,11,118,0,0,1,1.0,32.0,46.0,241.0,0.0,24.0,35.0,0.0,1.5,70.0,3.9,5.0,3.0,5.0,23.0,9.0,77.0,1.0,0.0,52.49951688202738,,,,,,,,,
W (40-13),0,17,28.0,239,2,49,263,2,5.4,77,6.5,4,12,4,27,12,107,0,0,0,1.0,32.0,45.0,300.0,1.0,28.0,55.0,1.0,2.0,73.0,4.9,4.0,5.0,4.0,24.0,9.0,81.0,0.0,1.0,97.765175685167,,,,,,,,,
W (44-6),0,19,25.0,245,3,40,177,3,4.4,65,6.5,1,9,1,19,6,50,0,0,1,3.0,16.0,27.0,98.0,0.0,36.0,107.0,1.0,3.0,63.0,3.3,0.0,8.0,0.0,14.0,5.0,31.0,0.0,3.0,138.02851859816005,,,,,,,,,
W (66-24),0,28,38.0,460,4,37,264,5,7.1,75,9.7,5,14,5,33,8,59,0,0,1,1.0,20.0,34.0,221.0,3.0,36.0,168.0,0.0,4.7,70.0,5.6,3.0,6.0,3.0,16.0,14.0,120.0,1.0,0.0,145.92943302028524,,,,,,,,,
W (56-0),0,12,22.0,151,1,31,362,6,11.7,53,9.7,2,9,2,16,5,35,0,0,0,1.0,18.0,30.0,107.0,0.0,47.0,147.0,0.0,3.1,77.0,3.3,2.0,10.0,2.0,17.0,6.0,60.0,1.0,0.0,157.05407735587946,,,,,,,,,
W (52-10),1,20,29.0,249,2,29,134,3,4.6,58,6.6,1,6,1,22,5,25,0,1,1,1.0,16.0,23.0,167.0,0.0,41.0,92.0,1.0,2.2,64.0,4.0,0.0,4.0,0.0,12.0,7.0,63.0,0.0,1.0,17.84760492329527,,,,,,,,,
W (41-20),0,15,23.0,161,1,36,298,3,8.3,59,7.8,1,12,1,21,9,88,0,0,1,1.0,26.0,40.0,269.0,1.0,44.0,139.0,1.0,3.2,84.0,4.9,4.0,10.0,4.0,29.0,10.0,45.0,0.0,1.0,30.34035254771288,,,,,,,,,
W (38-20),0,22,28.0,336,4,32,110,1,3.4,60,7.4,3,10,3,25,7,65,0,0,1,0.0,29.0,48.0,253.0,1.0,30.0,61.0,2.0,2.0,78.0,4.0,3.0,8.0,3.0,22.0,4.0,48.0,0.0,0.0,40.76641510917499,,,,,,,,,
W (24-21),0,17,26.0,172,3,43,191,0,4.4,69,5.3,1,12,1,23,4,30,0,0,1,2.0,25.0,36.0,329.0,2.0,28.0,74.0,1.0,2.6,64.0,6.3,2.0,3.0,2.0,20.0,6.0,40.0,1.0,1.0,76.85557442420485,,,,,,,,,
